場所名稱,場所地址,區域代碼,緯度,經度,場所分類,場所類型,AED放置地點
家福股份有限公司台北天母分公司(家樂福天母店),德行西路47號,63000110,25.105749,121.52274,大型購物場所,賣場,2F收銀線外
天溪綠地游泳池,中山北路7段219巷3弄170號,63000110,25.128423,121.53118,其他,其他場所,游泳池入口進入泳池旁
臺北南港展覽館2館,經貿二路2號,63000090,25.056239,121.615618,其他,其他場所,展覽館1樓
交通部運輸研究所,敦化北路240號,63000010,25.060121,121.549497,其他,其他場所,1樓大廳
超越體能顧問有限公司,南京東路四段17號b1,63000010,25.051908,121.550245,學校、大型集會場所,健身房,下樓梯右側
財團法人台灣文學發展基金會市定古蹟紀州庵及新館營運管理處,同安街107號,63000050,25.021649,121.520421,大型休閒場所,博物館,1F
台北美福大飯店,樂群二路55號,63000040,25.080489,121.553897,其他,其他場所,1樓商務中心
誠品行旅,菸廠路98號,63000020,25.0445736,121.5614532,旅宿場所,旅館,飯店入口服務中心
沃田有限公司,中山北路7段127號,63000110,25.122814,121.531848,旅宿場所,旅館,1樓櫃檯
老爺榮康股份有限公司(北投老爺酒店),中和街2號,63000120,25.138848,121.501697,大型公眾浴場或溫泉區,溫泉區,1F大廳
禮客Outlet內湖二館,民善街215號1F,63000100,25.064639,121.574767,大型購物場所,商場,禮客內湖二館服務台前
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓值班台及3樓特勤中隊值班台入口
臺北市政府警察局大同分局寧夏路派出所,錦西街200號,63000060,25.05222458,121.5117383,公眾服務單位設施,派出所,一樓值勤臺右斜前方
臺北市政府警察局中正第二分局廈門街派出所,廈門街43號,63000050,25.025864,121.517685,公眾服務單位設施,派出所,值班台旁
臺北市政府警察局大同分局民生西路派出所,保安街47-1號,63000060,25.059224,121.512054,公眾服務單位設施,派出所,值班台左後方，受理報案區
臺北市政府警察局大安分局羅斯福路派出所,羅斯福路4段113巷13號(羅斯福路派出所),63000030,25.011194,121.538127,公眾服務單位設施,派出所,派出所一樓值班台旁
臺北市政府警察局交通警察大隊大安分隊,新生南路1段157巷19號4樓,63000030,25.035039,121.535775,其他,其他場所,值班台旁
臺北市政府警察局中正第一分局仁愛路派出所,仁愛路1段19號,63000050,25.039163,121.522573,公眾服務單位設施,派出所,值班臺旁
臺北市政府警察局中正第一分局忠孝東路派出所,忠孝東路二段10號,63000050,25.043674,121.527171,公眾服務單位設施,派出所,大門口旁
臺北市政府警察局中正第二分局思源街派出所,汀州路三段72號,63000050,25.015134,121.532063,公眾服務單位設施,派出所,值班台右前方
臺北市政府警察局大同分局民族路派出所,重慶北路三段168號,63000060,25.068829,121.51348,公眾服務單位設施,派出所,進門右手邊角落(警報台旁)
臺北市政府警察局松山分局中崙派出所,南京東路4段12號,63000010,25.050613,121.552391,公眾服務單位設施,派出所,大門入口右側
臺北市政府警察局松山分局民有派出所,民權東路3段162號,63000010,25.061853,121.54812,公眾服務單位設施,派出所,民有派所值班台旁
臺北市政府警察局內湖分局潭美派出所,新明路324號,63000100,25.055359,121.581576,公眾服務單位設施,派出所,辦公室內
臺北市政府警察局中正第一分局忠孝西路派出所,公園路15號,63000050,25.045088,121.517314,公眾服務單位設施,派出所,一樓值勤台旁
臺北市政府警察局南港分局同德派出所,同德路83號,63000090,25.046109,121.585677,公眾服務單位設施,派出所,1樓辦公室內
臺北市政府警察局中山分局,中山北路2段1號,63000040,25.05260935,121.5228309,公眾服務單位設施,警察分局,1樓大廳出入口右側
臺北市政府警察局交通警察大隊大同分隊,昌吉街57號5樓之2,63000060,25.066061,121.515106,其他,其他場所,民眾洽公服務區
臺北市政府警察局大同分局延平派出所,延平北路一段86號,63000060,25.052166,121.511693,公眾服務單位設施,派出所,值班台旁
臺北市政府警察局大同分局建成派出所,承德路1段80號,63000060,25.052725,121.517341,公眾服務單位設施,派出所,值班台右後側
臺北市政府警察局中山分局中山一派出所,中山北路一段110號,63000040,25.050006,121.521431,公眾服務單位設施,派出所,志工服務台左側
臺北市政府警察局大同分局重慶北路派出所,重慶北路三段320之2號,63000060,25.075351,121.513553,公眾服務單位設施,派出所,值勤臺右側
臺北市政府警察局保安警察大隊,延壽街339號,63000010,25.0568,121.559617,公眾服務單位設施,警察分局,2樓大廳入口處(中庭右側)
臺北市政府警察局萬華分局青年路派出所,萬大路423巷112號,63000070,25.021913,121.50212,其他,其他場所,1樓值勤臺旁
臺北市政府警察局交通警察大隊直屬第三分隊,泉州街40號10樓,63000050,25.024225,121.512129,其他,其他場所,10樓值班台前
臺北市政府警察局刑事警察大隊,重慶北路二段219號,63000060,25.06095826,121.5137266,公眾服務單位設施,警察分局,1樓入口右邊
臺北市政府警察局中正第二分局泉州街派出所,中華路二段503號,63000050,25.024304,121.512073,公眾服務單位設施,派出所,值班台旁
臺北市政府警察局交通警察大隊中正第二分隊,泉州街40號8樓,63000050,25.024511,121.512328,其他,其他場所,8樓勤臺旁
臺北市政府警察局,延平南路96號1樓,63000050,25.0439422,121.5095664,公眾服務單位設施,警察分局,外事服務中心
臺北市政府警察局中正第二分局南昌路派出所,南昌路1段7號,63000050,25.032327,121.516608,公眾服務單位設施,派出所,值班台後方往二樓樓梯間。
臺北市政府警察局中正第一分局博愛路派出所,博愛路119號,63000050,25.041737,121.511619,公眾服務單位設施,派出所,民眾服務區櫃檯前
臺北市政府警察局交通警察大隊中正第一交通分隊,北平東路1號,63000050,25.047222,121.520938,其他,其他場所,駐地大門外側
臺北市政府警察局交通警察大隊中山分隊,長安西路3號3樓,63000040,25.050229,121.521122,公眾服務單位設施,派出所,值班台右側
臺北市政府警察局中正第二分局南海路派出所,南海路35號,63000050,25.032041,121.513975,公眾服務單位設施,派出所,值班台旁
臺北市政府警察局萬華分局莒光派出所,莒光路171號,63000070,25.031112,121.502761,其他,其他場所,一樓大門旁
臺北市政府警察局萬華分局西園路派出所,東園街17號,63000070,25.028137,121.495632,其他,其他場所,值勤臺後方
臺北市政府警察局萬華分局東園街派出所,長泰街130號,63000070,25.022316,121.498205,其他,其他場所,值勤臺旁
臺北市政府警察局內湖分局西湖派出所,瑞光路515號,63000100,25.079179,121.569151,公眾服務單位設施,派出所,派出所備勤室
臺北市政府警察局萬華分局龍山機動派出所,昆明街245號,63000070,25.037834,121.503935,其他,其他場所,1樓電腦桌辦公室內
臺北市政府警察局內湖分局(本部),民權東路6段101號,63000100,25.069189,121.589565,公眾服務單位設施,警察分局,1樓便民服務臺後面
臺北市政府警察局內湖分局文德派出所,民權東路6段26號,63000100,25.066589,121.578944,公眾服務單位設施,派出所,派出所值班台後方
臺北市政府警察局萬華分局西門町派出所,康定路22號1樓,63000070,25.045083,121.502865,其他,其他場所,值勤臺旁
臺北市政府警察局萬華分局西門町機動所,漢中街122號,63000070,25.042099,121.507367,其他,其他場所,1樓值勤臺旁
臺北市政府警察局萬華分局龍山派出所,桂林路135號1樓,63000070,25.03858,121.499354,其他,其他場所,一樓值班台旁
臺北市政府警察局萬華分局大理街派出所,大理街99號,63000070,25.034403,121.498298,其他,其他場所,大門入口左側
臺北市政府警察局中山分局民權一派出所,新生北路二段127之1號,63000040,25.059955,121.527944,公眾服務單位設施,派出所,派出所內，詳洽值班台
臺北市政府警察局萬華分局西門町機動所,漢中街122號,63000070,25.042099,121.507367,其他,其他場所,進大門口右側受理報案區前方
臺北市政府警察局萬華分局華江派出所,環河南路2段196號,63000070,25.034285,121.493218,其他,其他場所,值勤台右側
臺北市政府警察局交通警察大隊萬華分隊,環河南路2段102號6樓,63000070,25.036893,121.495492,其他,其他場所,值班台入口前
臺北市政府警察局交通警察大隊,愛國西路26號,63000050,25.035289,121.510978,公眾服務單位設施,警察分局,1樓值勤臺左側門旁
臺北市政府警察局萬華分局康定路派出所,和平西路3段112號,63000070,25.035082,121.50051,其他,其他場所,辦公室內
臺北市政府警察局中正第一分局介壽路派出所,公園路54號,63000050,25.039994,121.515535,公眾服務單位設施,派出所,派出所1樓辦公室後方
臺北市政府警察局大安分局敦化南路派出所,復興南路1段219-1號,63000030,25.040373,121.546911,公眾服務單位設施,派出所,值班臺旁
臺北市政府警察局大安分局,仁愛路3段2號,63000030,25.037872,121.533106,公眾服務單位設施,警察分局,1樓大廳值班臺旁
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,政治大學自強二舍大門內側
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,樂群樓2樓
社團法人中華民國軍人之友社台北國軍英雄館,長沙街1段20號,63000050,25.040286,121.508698,其他,其他場所,7樓1至3號電梯外
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,游泳池入口處
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,大禮堂1樓
臺北市政府警察局士林分局後港派出所,福港街151號1樓,63000110,25.08728,121.517957,其他,其他場所,大門右邊
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,民生樓1樓
臺北市政府警察局大安分局和平東路派出所,和平東路1段143號,63000030,25.026615,121.530509,公眾服務單位設施,派出所,1樓門口值班臺前
臺北市政府警察局大安分局臥龍街派出所,臥龍街185號,63000030,25.018001,121.551835,公眾服務單位設施,派出所,大門入口處
臺北市政府警察局婦幼警察隊,信義路5段180號,63000020,25.033095,121.574318,其他,其他場所,1樓大廳右方
臺北市政府警察局大安分局安和路派出所,信義路四段216號,63000030,25.032995,121.552185,公眾服務單位設施,派出所,一樓值班臺旁
臺北市政府警察局大安分局瑞安街派出所,瑞安街23巷17號,63000030,25.031193,121.545068,公眾服務單位設施,派出所,值班台旁鏡子前
臺北市政府警察局內湖分局康寧派出所,金湖路83號,63000100,25.081261,121.597549,公眾服務單位設施,派出所,值勤臺後方
臺北市稅捐稽徵處,北平東路7之2號,63000050,25.046835,121.523005,其他,其他場所,前棟1樓東側走廊
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,研究總中心
臺北市政府警察局內湖分局康樂派出所,康樂街110巷16弄20號,63000100,25.070427,121.618388,公眾服務單位設施,派出所,一樓值班臺
臺北市政府警察局士林分局山仔后派出所,格致路39號,63000110,25.137285,121.546359,公眾服務單位設施,派出所,派出所內值班台旁
臺北市政府警察局文山第一分局指南派出所,指南路2段177號1樓,63000080,24.987381,121.577867,公眾服務單位設施,派出所,值班台後方
臺北市政府警察局北投分局光明派出所,泉源路14號,63000120,25.13737,121.504243,公眾服務單位設施,派出所,大門進入右側
臺北市政府警察局士林分局芝山岩派出所,仰德大道一段16號,63000110,25.101122,121.537886,其他,其他場所,一樓便民服務區內
臺北市政府警察局士林分局天母派出所,中山北路七段192號,63000110,25.125001,121.532966,公眾服務單位設施,派出所,派出所內值勤台旁
臺北市政府警察局北投分局奇岩派出所,公館路209巷11號,63000120,25.127651,121.508044,公眾服務單位設施,派出所,1樓值班台旁
臺北市政府警察局北投分局石牌派出所,文林北路296號,63000120,25.109935,121.512507,公眾服務單位設施,派出所,1樓偵詢室旁
臺北市政府警察局交通警察大隊士林分隊,福港街151號6樓,63000110,25.08728,121.517957,其他,其他場所,交通分隊辦公室值勤台後方
臺北市政府警察局中山分局大直派出所,北安路456號,63000040,25.079511,121.544124,公眾服務單位設施,派出所,大門口旁
臺北市政府警察局交通警察大隊文山第二分隊,興隆路2段95巷8號,63000080,25.000021,121.546886,公眾服務單位設施,派出所,1樓辦公室內
臺北市政府警察局北投分局公園派出所,紗帽路110號,63000120,25.148752,121.548615,公眾服務單位設施,派出所,門口旁
臺北市政府警察局文山第二分局景美派出所,景中街2號,63000080,24.992734,121.541107,公眾服務單位設施,派出所,值班臺旁邊
臺北市政府警察局士林分局翠山派出所,中社路一段56號,63000110,25.108126,121.560262,其他,其他場所,值班台左前方
臺北市政府警察局文山第一分局木柵派出所,木柵路二段202號,63000080,24.988789,121.563546,公眾服務單位設施,派出所,木柵派出所大門旁(由外面對大門，門內右邊)
臺北市政府警察局文山第二分局萬盛派出所,羅斯福路5段151號,63000080,25.003904,121.538908,公眾服務單位設施,派出所,一樓受理報案區旁
臺北市政府警察局北投分局長安派出所,中央北路1段1號1樓,63000120,25.133282,121.501298,公眾服務單位設施,派出所,入口進門左手邊
臺北市政府警察局士林分局溪山派出所平等駐在所,平等里平菁街86號,63000110,25.131156,121.576473,其他,其他場所,值勤臺後方
臺北市政府警察局北投分局關渡派出所,關渡里大度路3段305號,63000120,25.122997,121.465947,公眾服務單位設施,派出所,值班台右側
臺北市政府警察局士林分局溪山派出所,至善路3段263號,63000110,25.119736,121.584527,其他,其他場所,大門入口右側
臺北市政府警察局士林分局永福派出所,仰德大道三段49號,63000110,25.118447,121.552328,公眾服務單位設施,派出所,值班台旁
臺北市政府警察局文山第一分局復興派出所,木柵路一段54號,63000080,24.986769,121.547017,公眾服務單位設施,派出所,受理民眾E化報案區旁
臺北市政府警察局內湖分局東湖派出所,五分街10號,63000100,25.067469,121.61299,公眾服務單位設施,派出所,進門左側
臺北市政府警察局文山第一分局木新派出所,恆光街45號,63000080,24.982404,121.567298,公眾服務單位設施,派出所,一樓為民服務區內
臺北市政府警察局文山第二分局興隆派出所,興隆路2段156號,63000080,25.001512,121.551187,公眾服務單位設施,派出所,派出所大門口
臺北市政府警察局士林分局文林派出所,文林路235號,63000110,25.090688,121.526763,其他,其他場所,一樓值勤台旁
臺北市政府警察局交通警察大隊文山一分隊,萬美街1段50號3樓,63000080,25.002266,121.566897,公眾服務單位設施,派出所,辦公室門口
臺北市政府警察局北投分局大屯派出所,中和街534號,63000120,25.145513,121.49335,公眾服務單位設施,派出所,值班台後方
臺北市政府警察局內湖分局港墘派出所,內湖路1段550號,63000100,25.078846,121.576762,公眾服務單位設施,派出所,值勤臺後方
臺北市政府警察局北投分局竹子湖派出所,竹子湖路16號,63000120,25.167467,121.540207,公眾服務單位設施,派出所,派出所內值班台左側
臺北市政府警察局內湖分局內湖派出所,內湖路二段261號,63000100,25.082075,121.590133,公眾服務單位設施,派出所,便民服務室內
臺北市政府警察局士林分局蘭雅派出所,中山北路6段153號,63000110,25.106571,121.524685,其他,其他場所,大門口右側，民眾服務區後方
臺北市政府警察局士林分局社子派出所,延平北路6段200號,63000110,25.08965604,121.5055377,其他,其他場所,值勤台旁
臺北市政府警察局北投分局永明派出所,石牌路2段101號,63000120,25.117934,121.516949,公眾服務單位設施,派出所,值勤臺旁
臺北市立美術館,中山北路三段181號,63000040,25.072594,121.524852,其他,其他場所,大門入口
臺北市私立強恕高級中學,汀州路2段143號,63000050,25.025111,121.520172,學校、大型集會場所,高中職,健康中心內
外貿協會台北國際會議中心,信義路5段1號,63000020,25.03369,121.561022,大型休閒場所,演藝廳,2樓
北都汽車股份有限公司(文山所廠),羅斯福路六段92巷2號B1,63000080,24.998245,121.540099,其他,其他場所,一樓辦公室左側
外貿協會台北國際會議中心,信義路5段1號,63000020,25.03369,121.561022,大型休閒場所,演藝廳,3樓
國家表演藝術中心國家兩廳院(國家音樂廳),中山南路21-1號,63000050,25.037355,121.519244,大型休閒場所,電影片映演場所(戲院、電影院),音樂廳1樓
外貿協會台北國際會議中心,信義路5段1號,63000020,25.03369,121.561022,大型休閒場所,演藝廳,4樓
北都汽車股份有限公司-信義廠,基隆路二段149-36號,63000020,25.02652,121.555235,其他,其他場所,客休室助理背後
臺北市立萬華國民中學,西藏路201號,63000070,25.029107,121.498835,其他,其他場所,健康中心內
北都汽車股份有限公司-東湖廠,潭美街791號,63000100,25.063786,121.610599,其他,其他場所,工廠內客戶休息室
國家表演藝術中心國家兩廳院(國家音樂廳),中山南路21-1號,63000050,25.037355,121.519244,大型休閒場所,電影片映演場所(戲院、電影院),音樂廳一號門售票口
英業達股份有限公司D棟,承德路四段166號,63000110,25.085741,121.523071,其他,其他場所,公司D棟大廳
STEPX FITNESS,南京東路二段八號B1,63000040,25.05188954,121.5283693,學校、大型集會場所,健身房,健身房內
漢杰健康事業股份有限公司(HowHowGym好好健身),光復南路180巷6號2樓,63000030,25.042523,121.557303,學校、大型集會場所,健身房,飲水機上方
體育客團體教室,富陽街90號1樓,63000020,25.02116541,121.5564462,其他,其他場所,本院大廳
耐森健身工作室,三合街二段435號1樓,63000120,25.1265032,121.5024596,學校、大型集會場所,健身房,大廳
香港商世界健身事業有限公司台北通化分公司,臨江街87號2樓,63000030,25.0302378,121.5550116,學校、大型集會場所,健身房,2樓大廳
香港商世界健身事業有限公司內湖分公司,康寧路3段72號6樓,63000100,25.070238,121.611276,學校、大型集會場所,健身房,8F教練部重訓區
臺北市士林區士東國民小學,中山北路六段392號,63000110,25.112934,121.526814,其他,其他場所,士東國小附設幼兒園內
臺北市政府警察局文山第一分局萬芳派出所,萬美街1段50號,63000080,25.002266,121.566897,公眾服務單位設施,派出所,大門入口左側
臺北市政府警察局,延平南路96號1樓,63000050,25.0439422,121.5095664,公眾服務單位設施,警察分局,本局大廳
臺北市政府警察局內湖分局大湖派出所,成功路五段1號,63000100,25.084248,121.601403,公眾服務單位設施,派出所,大湖所值班台左側
臺北市政府警察局大安分局新生南路派出所,仁愛路3段18號,63000030,25.037815,121.534012,公眾服務單位設施,派出所,1樓大門出入口旁
臺北市政府警察局交通警察大隊內湖分隊,五分街8號六樓,63000100,25.067475,121.612902,其他,其他場所,值班台正後方
內政部移民署台北市服務站,廣州街15號,63000050,25.036052,121.507998,其他,其他場所,一樓大廳服務台旁邊
內政部國土管理署,八德路二段342號,63000010,25.04757307,121.5444254,其他,其他場所,一樓大門口
臺北市松山區民生國民小學,敦化北路199巷18號,63000010,25.056463,121.552226,其他,其他場所,本校正門進入左側警衛室外
及人大廈,民生東路4段80巷7號,63000010,25.057108,121.553116,其他,其他場所,大門左側
臺北市國語實驗國民小學,南海路58號,63000050,25.0304771,121.5108887,其他,其他場所,健康中心走廊
中國文化大學推廣教育部 忠孝館,忠孝東路1段41號1樓,63000050,25.044512,121.525817,學校、大型集會場所,大專院校,忠孝分部國際語言中心一樓服務櫃台旁
鳳凰體能訓練中心,柳州街31-1,63000070,25.0386173,121.5054883,學校、大型集會場所,健身房,進門右手邊
香港商世界健身事業有限公司台北松隆分公司,松隆路125號,63000020,25.046793,121.571808,學校、大型集會場所,健身房,香港商世界健身事業有限公司台北松隆分公司
中國石油化學工業開發股份有限公司臺北營業所,東興路12號,63000010,25.0496968,121.5650519,其他,其他場所,本棟大樓10樓
Marriott Taipei 台北萬豪酒店,樂群二路199號,63000040,25.08048916,121.5589431,旅宿場所,飯店,一樓FO櫃檯辦公室
Marriott Taipei 台北萬豪酒店,樂群二路199號,63000040,25.08048916,121.5589431,旅宿場所,飯店,一樓安全部
台北市中華基督教青年會永吉會館,永吉路500號,63000020,25.045231,121.579912,其他,其他場所,一樓櫃台右側
臺北流行音樂中心,市民大道八段99號,63000090,25.052319,121.59861,大型休閒場所,演藝廳,表演廳1樓前廳
榕錦時光生活園區-遊客服務中心,金華街167號,63000030,25.0304773,121.5256839,觀光旅遊地區,文化園區,台北市大安區金華街167號
德立莊酒店,秀山街4號,63000050,25.042787,121.509309,旅宿場所,旅館,一樓大廳
Marriott Taipei 台北萬豪酒店,樂群二路199號,63000040,25.08048916,121.5589431,旅宿場所,飯店,萬豪酒店19F健身房大門旁
臺北市立蘭州國民中學,大龍街187巷1號,63000060,25.069322,121.516736,其他,其他場所,本校大門口穿堂
成德國中運動中心-舞動陽光,東新街108巷23號,63000090,25.045059,121.587751,學校、大型集會場所,健身中心,1樓大廳
內政部警政署保安警察第六總隊第二大隊第三中隊,自祥街36號,63000110,25.096268,121.534825,其他,其他場所,保六二大三中備勤室
Dr.Nail足研所,南京東路五段108號6樓,63000010,25.051215,121.562072,其他,其他場所,大門進入後的右前方
臺北南港展覽館2館,經貿二路2號,63000090,25.056239,121.615618,其他,其他場所,展覽館4樓
中興保全股份有限公司(1樓接待大廳),鄭州路139號,63000060,25.050491,121.510105,其他,其他場所,大廳入口左側
頗行健體運動空間,長春路61巷27號,63000040,25.055722,121.526375,學校、大型集會場所,健身中心,入口右側
國家表演藝術中心國家兩廳院(國家戲劇院),中山南路21-1號,63000050,25.037355,121.519244,大型休閒場所,電影片映演場所(戲院、電影院),戲劇院大廳
果毅健身有限公司（O.M Fit 運動空間),林森北路147號2樓,63000040,25.050904,121.523097,學校、大型集會場所,健身房,健身運動教室
香港商世界健身事業有限公司內湖民權分公司,民權東路六段180巷6號B2,63000100,25.068201,121.592457,學校、大型集會場所,健身房,櫃檯前方
臺北流行音樂中心,市民大道八段99號,63000090,25.052319,121.59861,大型休閒場所,演藝廳,表演廳1樓後場
臺北市文山區萬和里辦公處,汀洲路4段251號1樓,63000080,25.002948,121.535594,其他,其他場所,關懷據點內
臺北市金龍發展中心,金龍路136-1號,63000100,25.085765,121.590059,其他,其他場所,本棟2樓
臺灣菸酒股份有限公司,南昌路1段四號,63000050,25.03407,121.514877,其他,其他場所,法務處門口右側
碧湖公園,內湖路2段175號,63000100,25.082751,121.582899,其他,其他場所,管理室(小白宮)
南港公園,東新街170之1號,63000090,25.045919,121.591476,其他,其他場所,南港公園駐警室內
前山公園男公共浴室,建國街7-1號,63000120,25.150242,121.548548,大型公眾浴場或溫泉區,大型公眾浴場,管理室內
前山公園女公共浴室,紗帽路108-1號,63000120,25.149135,121.548604,大型公眾浴場或溫泉區,大型公眾浴場,管理室內
社子公園,永平街20巷37弄對面,63000110,25.090899,121.506612,其他,其他場所,社子公園圖書讀書閱覽室
鼎鼎大飯店股份有限公司(香格里拉台北遠東國際大飯店),敦化南路二段201號,63000030,25.026612,121.549282,旅宿場所,飯店,6樓健身中心
微風置地股份有限公司信義分公司,忠孝東路五段68號3F,63000020,25.041035,121.567002,大型購物場所,百貨業,3F服務台旁
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50008航機, 第13排 DEF行李艙"
國立臺北護理健康大學(城區部),內江街89號,63000070,25.041755,121.503359,學校、大型集會場所,大專院校,學生活動中心外
中國科技大學臺北校區,興隆路3段56號,63000080,24.997535,121.554239,學校、大型集會場所,大專院校,格致樓3樓
微風置地股份有限公司信義分公司,忠孝東路五段68號3F,63000020,25.041035,121.567002,大型購物場所,百貨業,45樓電梯出口右手邊
交通部航港局,和平東路3段1巷1號,63000030,25.025368,121.547303,其他,其他場所,一樓大廳
國立臺灣師範大學圖書館校區(和平東路1段129號) ,和平東路1段129號,63000030,25.026732,121.528263,學校、大型集會場所,大專院校,圖書館校區教育學院一樓大廳左側
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,"B-50011航機, 第13排 DEF行李艙"
台灣虎航股份有限公司,敦化北路405巷123弄3號,63000010,25.06304,121.557636,長距離交通工具,航空器,B-50027航機，第13排 DEF行李艙
中國科技大學臺北校區,興隆路3段56號,63000080,24.997535,121.554239,學校、大型集會場所,大專院校,自強樓1樓
微風置地股份有限公司南京分公司,南京東路三段337號,63000010,25.052006,121.548289,大型購物場所,百貨業,3F贈獎處旁
臺北市立格致國民中學,仰德大道四段75號健康中心,63000110,25.13085,121.546354,其他,其他場所,格致國中健康中心外走廊牆上
財團法人臺灣敦睦聯誼會所屬作業組織圓山大飯店,中山北路4段1巷1號,63000040,25.078611,121.526287,旅宿場所,旅館,B1西側3.4號電梯右手邊
新北投71園區,開明街71號,63000120,25.141611,121.502361,其他,其他場所,臺北市北投區開明街71靠
臺北市立福安國民中學,延平北路七段250號,63000110,25.102855,121.488071,學校、大型集會場所,國中,總務處走廊
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,莊敬樓1樓
海軍司令部醫務所,北安路305號,63000040,25.0809269,121.5380262,特殊機構,軍營,醫務所大門(室內)
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,後操場司令台
臺北市松山區新東里辦公處,延壽街3號,63000010,25.057429,121.568992,其他,其他場所,里辦公處大門口左側
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,綜合院館(北棟)
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,傳播學院
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,民族樓3樓
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,樹人樓1樓
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,藝文中心
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,後山警衛室
臺灣警察專科學校,興隆路三段153號,63000080,24.998038,121.561478,學校、大型集會場所,大專院校,中興樓1樓
國立政治大學,指南路2段64號,63000080,24.986398,121.574983,學校、大型集會場所,大專院校,國立政治大學(四維網球場)
臺北市立聯合醫院昆明大樓,昆明街100號,63000070,25.0443436,121.5047367,其他,其他場所,昆明大樓一樓大廳
MAJI MAJI集食行樂,玉門街1號,63000040,25.070457,121.520461,大型購物場所,商場,服務台前
全真概念健康事業股份有限公司-天母分公司,忠誠路二段188號B1,63000110,25.116401,121.533665,學校、大型集會場所,健身房,B1入口櫃台正對面
香港商世界健身事業有限公司台北民權東分公司,民權東路三段72號地下1樓,63000040,25.062119,121.543117,學校、大型集會場所,健身房,健身中心B1樓
香港商世界健身事業有限公司天母德行分公司,德行東路331巷35號,63000110,25.111802,121.537904,學校、大型集會場所,健身房,健身中心一樓
Curves女性專用30分鐘健身中心松山店,八德路四段666號4樓,63000010,25.04988,121.576095,學校、大型集會場所,健身房,櫃台旁置物櫃
臺灣菸酒股份有限公司台北啤酒工場,八德路二段85號,63000040,25.047119,121.534198,觀光旅遊地區,文化園區,打卡室內
維康生活股份有限公司,忠孝東路5段970號B1,63000090,25.044263,121.582314,學校、大型集會場所,健身房,門口左邊
臺北市中正運動中心,信義路一段1號,63000050,25.038234,121.519291,學校、大型集會場所,健身中心,3樓籃球場
臺北市中正運動中心,信義路一段1號,63000050,25.038234,121.519291,學校、大型集會場所,健身中心,2樓體適能中心
臺北市立百齡高級中學,承德路四段177號,63000110,25.08699,121.523062,學校、大型集會場所,高中職,活動中心2樓樓梯口右側
臺灣集中保管結算所股份有限公司,復興北路363號2樓,63000010,25.060561,121.544388,其他,其他場所,台北市松山區復興北路363號11樓
臺灣集中保管結算所股份有限公司,復興北路363號2樓,63000010,25.060561,121.544388,其他,其他場所,台北市松山區復興北路363號3樓
臺灣集中保管結算所股份有限公司,復興北路363號2樓,63000010,25.060561,121.544388,其他,其他場所,台北市松山區復興北路363號9樓
誠隆汽車股份有限公司新生展示中心,新生南路一段175號,63000030,25.034032,121.532956,其他,其他場所,新生展示中心
布勒斯運動顧問,復興北路446號,63000040,25.059159,121.547119,學校、大型集會場所,健身房,布勒斯運動顧問
臺灣集中保管結算所股份有限公司,復興北路363號2樓,63000010,25.060561,121.544388,其他,其他場所,台北市松山區復興北路363號7樓
香港商世界健身事業有限公司內湖港墘分公司,港墘路221巷33號2-4樓,63000100,25.0738669,121.5747656,學校、大型集會場所,健身房,3樓客服櫃台旁
裕融企業股份有限公司,敦化南路二段2號13樓,63000030,25.033037,121.54904,其他,其他場所,13樓電梯出口左手處
臺灣集中保管結算所股份有限公司-南港,三重路19 之6 號C 棟5. 樓,63000090,25.05712634,121.6129441,其他,其他場所,C 棟5. 樓
臺灣集中保管結算所股份有限公司,復興北路363號2樓,63000010,25.060561,121.544388,其他,其他場所,台北市松山區復興北路363號10樓
臺北市私立開平餐飲職業學校,復興南路二段148巷24號,63000030,25.028796,121.542081,學校、大型集會場所,高中職,校本部1樓
